"sector","Variable","year","value","group","value0","USAGDPDEFAISMEI","label","scaled"
97,"Total Personal Income",2011,78617.1178917964,"Extrapolated",78617.1178917958,94.0042733837922,"Coastal Personal Income [billion 2022$]",0.000101383749535434
97,"Total Personal Income",2013,66555.9203632945,"Extrapolated",66555.9203632939,97.3844273465615,"Coastal Personal Income [billion 2022$]",8.28506663871876e-05
97,"Total Personal Income",2014,73421.6131315775,"Extrapolated",73421.6131315769,99.0804906972909,"Coastal Personal Income [billion 2022$]",8.98327305326759e-05
97,"Total Personal Income",2016,103035.773515163,"Extrapolated",103035.773515163,100.950322501374,"Coastal Personal Income [billion 2022$]",0.000123731179331776
97,"Total Personal Income",2017,110900.471923837,"Extrapolated",110900.471923837,102.758144170279,"Coastal Personal Income [billion 2022$]",0.000130832599156516
97,"Total Employement",2012,1.40347545537663,"Extrapolated",1.41944623696967,95.7547924993229,"Coastal Employment [thousands]",0.00140347545537663
97,"Total Employement",2015,1.52964845421838,"Extrapolated",1.54561923581142,100,"Coastal Employment [thousands]",0.00152964845421838
97,"Total Employement",2018,1.646809096,"Extrapolated",1.66277987759305,105.112221863417,"Coastal Employment [thousands]",0.001646809096
97,"Total Employement",2011,1.39909372745859,"Extrapolated",1.41506450905164,94.0042733837922,"Coastal Employment [thousands]",0.00139909372745859
97,"Total Employement",2013,1.21159823834097,"Extrapolated",1.22756901993402,97.3844273465615,"Coastal Employment [thousands]",0.00121159823834097
97,"Total Employement",2014,1.27520840031491,"Extrapolated",1.29117918190795,99.0804906972909,"Coastal Employment [thousands]",0.00127520840031491
97,"Total Employement",2016,1.5632790874992,"Extrapolated",1.57924986909225,100.950322501374,"Coastal Employment [thousands]",0.0015632790874992
97,"Total Employement",2017,1.62492849086715,"Extrapolated",1.6408992724602,102.758144170279,"Coastal Employment [thousands]",0.00162492849086715
97,"Total Industry Output",2012,2525382.84167088,"Extrapolated",2525382.84167085,95.7547924993229,"Coastal Industry Output [billion 2022$]",0.0031971685569388
97,"Total Industry Output",2015,666589.558767888,"Extrapolated",666589.55876786,100,"Coastal Industry Output [billion 2022$]",0.000808085537233279
97,"Total Industry Output",2018,688389.462823167,"Extrapolated",688389.462823139,105.112221863417,"Coastal Industry Output [billion 2022$]",0.000793925634758771
97,"Total Industry Output",2011,2810070.94553091,"Extrapolated",2810070.94553088,94.0042733837922,"Coastal Industry Output [billion 2022$]",0.00362383583319115
97,"Total Industry Output",2013,4586930.8952198,"Extrapolated",4586930.89521977,97.3844273465615,"Coastal Industry Output [billion 2022$]",0.00570993954056304
97,"Total Industry Output",2014,2887448.78012083,"Extrapolated",2887448.78012081,99.0804906972909,"Coastal Industry Output [billion 2022$]",0.00353284812370787
97,"Total Industry Output",2016,553010.101679153,"Extrapolated",553010.101679125,100.950322501374,"Coastal Industry Output [billion 2022$]",0.000664085780392355
97,"Total Industry Output",2017,451084.664718727,"Extrapolated",451084.664718699,102.758144170279,"Coastal Industry Output [billion 2022$]",0.000532158052179681
98,"Total Industry Output",2018,778157.218627553,"As recorded",778157.218627553,105.112221863417,"Coastal Industry Output [billion 2022$]",0.000897455578717509
98,"Total Employement",2018,1.675470238,"As recorded",1.675470238,105.112221863417,"Coastal Employment [thousands]",0.001675470238
98,"Total Personal Income",2018,110135.373472693,"As recorded",110135.373472693,105.112221863417,"Coastal Personal Income [billion 2022$]",0.000127020096930454
98,"Total Industry Output",2019,751489.679343497,"As recorded",751489.679343497,106.876538692045,"Coastal Industry Output [billion 2022$]",0.000852392201151923
98,"Total Employement",2019,1.646809096,"As recorded",1.646809096,106.876538692045,"Coastal Employment [thousands]",0.001646809096
98,"Total Personal Income",2019,114825.382123428,"As recorded",114825.382123428,106.876538692045,"Coastal Personal Income [billion 2022$]",0.000130242986572756
98,"Total Industry Output",2020,883065.626444801,"As recorded",883065.626444801,108.287966074286,"Coastal Industry Output [billion 2022$]",0.000988579523670348
98,"Total Employement",2020,1.637255382,"As recorded",1.637255382,108.287966074286,"Coastal Employment [thousands]",0.001637255382
98,"Total Personal Income",2020,134226.761910392,"As recorded",134226.761910392,108.287966074286,"Coastal Personal Income [billion 2022$]",0.000150264968287137
98,"Total Industry Output",2021,711484.63594737,"As recorded",711484.63594737,113.252692384595,"Coastal Industry Output [billion 2022$]",0.000761580504444046
98,"Total Employement",2021,1.493503386,"As recorded",1.493503386,113.252692384595,"Coastal Employment [thousands]",0.001493503386
98,"Total Personal Income",2021,118268.150384329,"As recorded",118268.150384329,113.252692384595,"Coastal Personal Income [billion 2022$]",0.000126595449962779
98,"Total Industry Output",2022,905201.244515691,"As recorded",905201.244515691,121.226851906731,"Coastal Industry Output [billion 2022$]",0.000905201244515691
98,"Total Employement",2022,1.651585953,"As recorded",1.651585953,121.226851906731,"Coastal Employment [thousands]",0.001651585953
98,"Total Personal Income",2022,142330.087644607,"As recorded",142330.087644607,121.226851906731,"Coastal Personal Income [billion 2022$]",0.000142330087644607
98,"Total Personal Income",2012,80064.8800044478,"Extrapolated",80064.8800044485,95.7547924993229,"Coastal Personal Income [billion 2022$]",0.000101363212199515
98,"Total Personal Income",2015,102448.489684169,"Extrapolated",102448.48968417,100,"Coastal Personal Income [billion 2022$]",0.00012419507887011
98,"Total Personal Income",2018,110135.373472693,"Extrapolated",110135.373472694,105.112221863417,"Coastal Personal Income [billion 2022$]",0.000127020096930454
98,"Total Personal Income",2011,80384.1857265463,"Extrapolated",80384.185726547,94.0042733837922,"Coastal Personal Income [billion 2022$]",0.0001036625403074
98,"Total Personal Income",2013,67285.046839405,"Extrapolated",67285.0468394057,97.3844273465615,"Coastal Personal Income [billion 2022$]",8.37583033651839e-05
98,"Total Personal Income",2014,74354.0909073445,"Extrapolated",74354.0909073451,99.0804906972909,"Coastal Personal Income [billion 2022$]",9.09736347049674e-05
98,"Total Personal Income",2016,105579.307270906,"Extrapolated",105579.307270907,100.950322501374,"Coastal Personal Income [billion 2022$]",0.000126785598399363
98,"Total Personal Income",2017,114267.990117636,"Extrapolated",114267.990117636,102.758144170279,"Coastal Personal Income [billion 2022$]",0.000134805360952373
98,"Total Employement",2012,1.43670760714264,"Extrapolated",1.45059560634093,95.7547924993229,"Coastal Employment [thousands]",0.00143670760714264
98,"Total Employement",2015,1.56284635552011,"Extrapolated",1.5767343547184,100,"Coastal Employment [thousands]",0.00156284635552011
98,"Total Employement",2018,1.675470238,"Extrapolated",1.68935823719829,105.112221863417,"Coastal Employment [thousands]",0.001675470238
98,"Total Employement",2011,1.43488452294219,"Extrapolated",1.44877252214048,94.0042733837922,"Coastal Employment [thousands]",0.00143488452294219
98,"Total Employement",2013,1.24108296047635,"Extrapolated",1.25497095967464,97.3844273465615,"Coastal Employment [thousands]",0.00124108296047635
98,"Total Employement",2014,1.30457566398974,"Extrapolated",1.31846366318803,99.0804906972909,"Coastal Employment [thousands]",0.00130457566398974
98,"Total Employement",2016,1.59404231048162,"Extrapolated",1.60793030967991,100.950322501374,"Coastal Employment [thousands]",0.00159404231048162
98,"Total Employement",2017,1.65588834704225,"Extrapolated",1.66977634624053,102.758144170279,"Coastal Employment [thousands]",0.00165588834704225
98,"Total Industry Output",2012,767692.970568719,"Extrapolated",767692.970568726,95.7547924993229,"Coastal Industry Output [billion 2022$]",0.000971909599758472
98,"Total Industry Output",2015,793169.355548051,"Extrapolated",793169.355548058,100,"Coastal Industry Output [billion 2022$]",0.000961534240019808
98,"Total Industry Output",2018,778157.218627553,"Extrapolated",778157.21862756,105.112221863417,"Coastal Industry Output [billion 2022$]",0.000897455578717509
98,"Total Industry Output",2011,753931.261284497,"Extrapolated",753931.261284504,94.0042733837922,"Coastal Industry Output [billion 2022$]",0.000972261260788053
98,"Total Industry Output",2013,685757.53307234,"Extrapolated",685757.533072347,97.3844273465615,"Coastal Industry Output [billion 2022$]",0.000853650107833396
98,"Total Industry Output",2014,743544.787298206,"Extrapolated",743544.787298213,99.0804906972909,"Coastal Industry Output [billion 2022$]",0.000909741092130925
98,"Total Industry Output",2016,762840.145850883,"Extrapolated",762840.145850891,100.950322501374,"Coastal Industry Output [billion 2022$]",0.000916061554813908
98,"Total Industry Output",2017,804523.557230818,"Extrapolated",804523.557230825,102.758144170279,"Coastal Industry Output [billion 2022$]",0.000949120470356895
106,"Total Industry Output",2018,65214066.74,"As recorded",65214066.74,105.112221863417,"Coastal Industry Output [billion 2022$]",0.0752119579509824
106,"Total Employement",2018,142.63,"As recorded",142.63,105.112221863417,"Coastal Employment [thousands]",0.14263
106,"Total Personal Income",2018,11060816.9,"As recorded",11060816.9,105.112221863417,"Coastal Personal Income [billion 2022$]",0.0127565376179194
106,"Total Industry Output",2019,46876114.6,"As recorded",46876114.6,106.876538692045,"Coastal Industry Output [billion 2022$]",0.0531701706672142
106,"Total Employement",2019,109.43,"As recorded",109.43,106.876538692045,"Coastal Employment [thousands]",0.10943
106,"Total Personal Income",2019,11839002.06,"As recorded",11839002.06,106.876538692045,"Coastal Personal Income [billion 2022$]",0.0134286249069734
106,"Total Industry Output",2020,58005979.81,"As recorded",58005979.81,108.287966074286,"Coastal Industry Output [billion 2022$]",0.0649368769130616
106,"Total Employement",2020,116.97,"As recorded",116.97,108.287966074286,"Coastal Employment [thousands]",0.11697
106,"Total Personal Income",2020,11860609.42,"As recorded",11860609.42,108.287966074286,"Coastal Personal Income [billion 2022$]",0.0132777850929028
106,"Total Industry Output",2021,62415460.93,"As recorded",62415460.93,113.252692384595,"Coastal Industry Output [billion 2022$]",0.066810154174142
106,"Total Employement",2021,130.18,"As recorded",130.18,113.252692384595,"Coastal Employment [thousands]",0.13018
106,"Total Personal Income",2021,12502978.22,"As recorded",12502978.22,113.252692384595,"Coastal Personal Income [billion 2022$]",0.0133833170510584
106,"Total Industry Output",2022,11392505.47,"As recorded",11392505.47,121.226851906731,"Coastal Industry Output [billion 2022$]",0.01139250547
106,"Total Employement",2022,38.83,"As recorded",38.83,121.226851906731,"Coastal Employment [thousands]",0.03883
106,"Total Personal Income",2022,1321843.25,"As recorded",1321843.25,121.226851906731,"Coastal Personal Income [billion 2022$]",0.00132184325
106,"Total Personal Income",2012,11132030.1360543,"Extrapolated",11132030.1360542,95.7547924993229,"Coastal Personal Income [billion 2022$]",0.0140932994944797
106,"Total Personal Income",2015,6882123.10161112,"Extrapolated",6882123.10161109,100,"Coastal Personal Income [billion 2022$]",0.00834298118042903
106,"Total Personal Income",2018,11060816.9,"Extrapolated",11060816.9,105.112221863417,"Coastal Personal Income [billion 2022$]",0.0127565376179194
106,"Total Personal Income",2011,7787721.74876343,"Extrapolated",7787721.7487634,94.0042733837922,"Coastal Personal Income [billion 2022$]",0.0100429582309919
106,"Total Personal Income",2013,9848628.44285155,"Extrapolated",9848628.44285152,97.3844273465615,"Coastal Personal Income [billion 2022$]",0.0122598474340994
106,"Total Personal Income",2014,12383478.8629076,"Extrapolated",12383478.8629076,99.0804906972909,"Coastal Personal Income [billion 2022$]",0.0151514203012005
106,"Total Personal Income",2016,8974847.7341348,"Extrapolated",8974847.73413478,100.950322501374,"Coastal Personal Income [billion 2022$]",0.0107775043228476
106,"Total Personal Income",2017,10213281.9111776,"Extrapolated",10213281.9111776,102.758144170279,"Coastal Personal Income [billion 2022$]",0.0120489137257709
106,"Total Employement",2012,104.521315579004,"Extrapolated",104.521148187208,95.7547924993229,"Coastal Employment [thousands]",0.104521315579004
106,"Total Employement",2015,91.7849732400706,"Extrapolated",91.784805848274,100,"Coastal Employment [thousands]",0.0917849732400706
106,"Total Employement",2018,142.63,"Extrapolated",142.629832608203,105.112221863417,"Coastal Employment [thousands]",0.14263
106,"Total Employement",2011,85.3380702736521,"Extrapolated",85.3379028818555,94.0042733837922,"Coastal Employment [thousands]",0.085338070273652
106,"Total Employement",2013,115.047059283896,"Extrapolated",115.046891892099,97.3844273465615,"Coastal Employment [thousands]",0.115047059283896
106,"Total Employement",2014,114.550354877705,"Extrapolated",114.550187485908,99.0804906972909,"Coastal Employment [thousands]",0.114550354877705
106,"Total Employement",2016,106.773384626643,"Extrapolated",106.773217234847,100.950322501374,"Coastal Employment [thousands]",0.106773384626643
106,"Total Employement",2017,124.151166950285,"Extrapolated",124.150999558489,102.758144170279,"Coastal Employment [thousands]",0.124151166950285
106,"Total Industry Output",2012,116974139.181581,"Extrapolated",116974139.181581,95.7547924993229,"Coastal Industry Output [billion 2022$]",0.148090829475539
106,"Total Industry Output",2015,74273688.05974,"Extrapolated",74273688.05974,100,"Coastal Industry Output [billion 2022$]",0.0900396538298484
106,"Total Industry Output",2018,65214066.74,"Extrapolated",65214066.74,105.112221863417,"Coastal Industry Output [billion 2022$]",0.0752119579509824
106,"Total Industry Output",2011,100855662.842162,"Extrapolated",100855662.842162,94.0042733837922,"Coastal Industry Output [billion 2022$]",0.13006232656472
106,"Total Industry Output",2013,118825460.271756,"Extrapolated",118825460.271756,97.3844273465615,"Coastal Industry Output [billion 2022$]",0.147917247835231
106,"Total Industry Output",2014,117976991.232283,"Extrapolated",117976991.232283,99.0804906972909,"Coastal Industry Output [billion 2022$]",0.144347077248667
106,"Total Industry Output",2016,62161685.7393691,"Extrapolated",62161685.7393691,100.950322501374,"Coastal Industry Output [billion 2022$]",0.0746472649584323
106,"Total Industry Output",2017,68426960.5356735,"Extrapolated",68426960.5356735,102.758144170279,"Coastal Industry Output [billion 2022$]",0.0807253291528893
108,"Total Industry Output",2018,12882778.3566173,"As recorded",12882778.3566173,105.112221863417,"Coastal Industry Output [billion 2022$]",0.0148578218241282
108,"Total Employement",2018,9.286210008,"As recorded",9.286210008,105.112221863417,"Coastal Employment [thousands]",0.009286210008
108,"Total Personal Income",2018,5564515.88849706,"As recorded",5564515.88849706,105.112221863417,"Coastal Personal Income [billion 2022$]",0.0064176052183924
108,"Total Industry Output",2019,6754525.8881225,"As recorded",6754525.8881225,106.876538692045,"Coastal Industry Output [billion 2022$]",0.00766145610215719
108,"Total Employement",2019,6.315004954,"As recorded",6.315004954,106.876538692045,"Coastal Employment [thousands]",0.006315004954
108,"Total Personal Income",2019,1732252.84882451,"As recorded",1732252.84882451,106.876538692045,"Coastal Personal Income [billion 2022$]",0.00196484244474407
108,"Total Industry Output",2020,2802163.10975596,"As recorded",2802163.10975596,108.287966074286,"Coastal Industry Output [billion 2022$]",0.00313698211019917
108,"Total Employement",2020,2.273783932,"As recorded",2.273783932,108.287966074286,"Coastal Employment [thousands]",0.002273783932
108,"Total Personal Income",2020,361992.812516494,"As recorded",361992.812516494,108.287966074286,"Coastal Personal Income [billion 2022$]",0.000405245852010314
108,"Total Industry Output",2021,4937456.36062024,"As recorded",4937456.36062024,113.252692384595,"Coastal Industry Output [billion 2022$]",0.00528510429573041
108,"Total Employement",2021,4.093766449,"As recorded",4.093766449,113.252692384595,"Coastal Employment [thousands]",0.004093766449
108,"Total Personal Income",2021,688685.038728405,"As recorded",688685.038728405,113.252692384595,"Coastal Personal Income [billion 2022$]",0.000737175580045334
108,"Total Industry Output",2022,13384647.7502372,"As recorded",13384647.7502372,121.226851906731,"Coastal Industry Output [billion 2022$]",0.0133846477502372
108,"Total Employement",2022,18.644072871,"As recorded",18.644072871,121.226851906731,"Coastal Employment [thousands]",0.018644072871
108,"Total Personal Income",2022,1125160.43034827,"As recorded",1125160.43034827,121.226851906731,"Coastal Personal Income [billion 2022$]",0.00112516043034827
108,"Total Personal Income",2012,-4.65661287307739e-09,"Extrapolated",0,95.7547924993229,"Coastal Personal Income [billion 2022$]",-5.89533436830874e-18
108,"Total Personal Income",2015,351913.653800204,"Extrapolated",351913.653800209,100,"Coastal Personal Income [billion 2022$]",0.000426613843931939
108,"Total Personal Income",2018,5564515.88849706,"Extrapolated",5564515.88849706,105.112221863417,"Coastal Personal Income [billion 2022$]",0.0064176052183924
108,"Total Personal Income",2011,-4.65661287307739e-09,"Extrapolated",0,94.0042733837922,"Coastal Personal Income [billion 2022$]",-6.00511549987535e-18
108,"Total Personal Income",2013,-4.65661287307739e-09,"Extrapolated",0,97.3844273465615,"Coastal Personal Income [billion 2022$]",-5.79668161052715e-18
108,"Total Personal Income",2014,-4.65661287307739e-09,"Extrapolated",0,99.0804906972909,"Coastal Personal Income [billion 2022$]",-5.69745380930946e-18
108,"Total Personal Income",2016,1811089.64539575,"Extrapolated",1811089.64539575,100.950322501374,"Coastal Personal Income [billion 2022$]",0.00217485878986881
108,"Total Personal Income",2017,3086045.95989644,"Extrapolated",3086045.95989644,102.758144170279,"Coastal Personal Income [billion 2022$]",0.00364070059437621
108,"Total Employement",2012,0,"Extrapolated",0,95.7547924993229,"Coastal Employment [thousands]",0
108,"Total Employement",2015,3.276923902,"Extrapolated",3.276923902,100,"Coastal Employment [thousands]",0.003276923902
108,"Total Employement",2018,9.286210008,"Extrapolated",9.286210008,105.112221863417,"Coastal Employment [thousands]",0.009286210008
108,"Total Employement",2011,0,"Extrapolated",0,94.0042733837922,"Coastal Employment [thousands]",0
108,"Total Employement",2013,0,"Extrapolated",0,97.3844273465615,"Coastal Employment [thousands]",0
108,"Total Employement",2014,0,"Extrapolated",0,99.0804906972909,"Coastal Employment [thousands]",0
108,"Total Employement",2016,10.6567987354178,"Extrapolated",10.6567987354178,100.950322501374,"Coastal Employment [thousands]",0.0106567987354178
108,"Total Employement",2017,11.1648942204319,"Extrapolated",11.1648942204319,102.758144170279,"Coastal Employment [thousands]",0.0111648942204319
108,"Total Industry Output",2012,6.33299350738525e-08,"Extrapolated",0,95.7547924993229,"Coastal Industry Output [billion 2022$]",8.01765474089989e-17
108,"Total Industry Output",2015,3792932.56782771,"Extrapolated",3792932.56782764,100,"Coastal Industry Output [billion 2022$]",0.00459805274692266
108,"Total Industry Output",2018,12882778.3566173,"Extrapolated",12882778.3566172,105.112221863417,"Coastal Industry Output [billion 2022$]",0.0148578218241282
108,"Total Industry Output",2011,6.33299350738525e-08,"Extrapolated",0,94.0042733837922,"Coastal Industry Output [billion 2022$]",8.16695707983047e-17
108,"Total Industry Output",2013,6.33299350738525e-08,"Extrapolated",0,97.3844273465615,"Coastal Industry Output [billion 2022$]",7.88348699031692e-17
108,"Total Industry Output",2014,6.33299350738525e-08,"Extrapolated",0,99.0804906972909,"Coastal Industry Output [billion 2022$]",7.74853718066086e-17
108,"Total Industry Output",2016,11836756.574976,"Extrapolated",11836756.574976,100.950322501374,"Coastal Industry Output [billion 2022$]",0.0142142461838209
108,"Total Industry Output",2017,13078323.0527424,"Extrapolated",13078323.0527423,102.758144170279,"Coastal Industry Output [billion 2022$]",0.0154288883348844
115,"Total Industry Output",2018,5413071.59342786,"As recorded",5413071.59342786,105.112221863417,"Coastal Industry Output [billion 2022$]",0.00624294317809866
115,"Total Employement",2018,20.62288227,"As recorded",20.62288227,105.112221863417,"Coastal Employment [thousands]",0.02062288227
115,"Total Personal Income",2018,1396554.37222179,"As recorded",1396554.37222179,105.112221863417,"Coastal Personal Income [billion 2022$]",0.00161065846634863
115,"Total Industry Output",2019,14908166.4806871,"As recorded",14908166.4806871,106.876538692045,"Coastal Industry Output [billion 2022$]",0.0169098860448936
115,"Total Employement",2019,49.51757859,"As recorded",49.51757859,106.876538692045,"Coastal Employment [thousands]",0.04951757859
115,"Total Personal Income",2019,4689215.62915063,"As recorded",4689215.62915063,106.876538692045,"Coastal Personal Income [billion 2022$]",0.00531883662766937
115,"Total Industry Output",2020,15148279.0659103,"As recorded",15148279.0659103,108.287966074286,"Coastal Industry Output [billion 2022$]",0.0169582849280332
115,"Total Employement",2020,50.623263987,"As recorded",50.623263987,108.287966074286,"Coastal Employment [thousands]",0.050623263987
115,"Total Personal Income",2020,4542154.73434055,"As recorded",4542154.73434055,108.287966074286,"Coastal Personal Income [billion 2022$]",0.00508487821204088
115,"Total Industry Output",2021,15513315.8196991,"As recorded",15513315.8196991,113.252692384595,"Coastal Industry Output [billion 2022$]",0.0166056135166357
115,"Total Employement",2021,47.17022437,"As recorded",47.17022437,113.252692384595,"Coastal Employment [thousands]",0.04717022437
115,"Total Personal Income",2021,4566150.63528094,"As recorded",4566150.63528094,113.252692384595,"Coastal Personal Income [billion 2022$]",0.00488765481148351
115,"Total Industry Output",2022,4404393.73163047,"As recorded",4404393.73163047,121.226851906731,"Coastal Industry Output [billion 2022$]",0.00440439373163047
115,"Total Employement",2022,10.013714,"As recorded",10.013714,121.226851906731,"Coastal Employment [thousands]",0.010013714
115,"Total Personal Income",2022,714674.637751894,"As recorded",714674.637751894,121.226851906731,"Coastal Personal Income [billion 2022$]",0.000714674637751894
115,"Total Personal Income",2012,256510.3442572,"Extrapolated",256510.344257201,95.7547924993229,"Coastal Personal Income [billion 2022$]",0.000324745537055308
115,"Total Personal Income",2015,3184570.09072579,"Extrapolated",3184570.09072579,100,"Coastal Personal Income [billion 2022$]",0.0038605540677502
115,"Total Personal Income",2018,1396554.37222179,"Extrapolated",1396554.37222179,105.112221863417,"Coastal Personal Income [billion 2022$]",0.00161065846634863
115,"Total Personal Income",2011,1202783.96905952,"Extrapolated",1202783.96905952,94.0042733837922,"Coastal Personal Income [billion 2022$]",0.00155109665597509
115,"Total Personal Income",2013,2027311.24026768,"Extrapolated",2027311.24026768,97.3844273465615,"Coastal Personal Income [billion 2022$]",0.00252365358804421
115,"Total Personal Income",2014,381453.562524553,"Extrapolated",381453.562524553,99.0804906972909,"Coastal Personal Income [billion 2022$]",0.000466715639052878
115,"Total Personal Income",2016,11782398.9667766,"Extrapolated",11782398.9667766,100.950322501374,"Coastal Personal Income [billion 2022$]",0.0141489704961765
115,"Total Personal Income",2017,12257815.75856,"Extrapolated",12257815.75856,102.758144170279,"Coastal Personal Income [billion 2022$]",0.0144609113726359
115,"Total Employement",2012,3.02909330760168,"Extrapolated",3.36351847810556,95.7547924993229,"Coastal Employment [thousands]",0.00302909330760168
115,"Total Employement",2015,38.6251957439091,"Extrapolated",38.959620914413,100,"Coastal Employment [thousands]",0.0386251957439091
115,"Total Employement",2018,20.62288227,"Extrapolated",20.9573074405039,105.112221863417,"Coastal Employment [thousands]",0.02062288227
115,"Total Employement",2011,20.8938334273866,"Extrapolated",21.2282585978905,94.0042733837922,"Coastal Employment [thousands]",0.0208938334273866
115,"Total Employement",2013,25.3961474395568,"Extrapolated",25.7305726100607,97.3844273465615,"Coastal Employment [thousands]",0.0253961474395568
115,"Total Employement",2014,4.70713729752679,"Extrapolated",5.04156246803067,99.0804906972909,"Coastal Employment [thousands]",0.00470713729752679
115,"Total Employement",2016,118.946709276627,"Extrapolated",119.281134447131,100.950322501374,"Coastal Employment [thousands]",0.118946709276627
115,"Total Employement",2017,121.039867039089,"Extrapolated",121.374292209593,102.758144170279,"Coastal Employment [thousands]",0.121039867039089
115,"Total Industry Output",2012,833769.185661994,"Extrapolated",833769.185662025,95.7547924993229,"Coastal Industry Output [billion 2022$]",0.0010555629745149
115,"Total Industry Output",2015,11047507.0508187,"Extrapolated",11047507.0508187,100,"Coastal Industry Output [billion 2022$]",0.0133925450118816
115,"Total Industry Output",2018,5413071.59342786,"Extrapolated",5413071.59342789,105.112221863417,"Coastal Industry Output [billion 2022$]",0.00624294317809866
115,"Total Industry Output",2011,4769862.90055322,"Extrapolated",4769862.90055325,94.0042733837922,"Coastal Industry Output [billion 2022$]",0.00615116145943714
115,"Total Industry Output",2013,6662862.00418167,"Extrapolated",6662862.0041817,97.3844273465615,"Coastal Industry Output [billion 2022$]",0.00829411649751243
115,"Total Industry Output",2014,1220951.65255796,"Extrapolated",1220951.65255799,99.0804906972909,"Coastal Industry Output [billion 2022$]",0.00149385740954923
115,"Total Industry Output",2016,36122083.1272906,"Extrapolated",36122083.1272906,100.950322501374,"Coastal Industry Output [billion 2022$]",0.0433774386582577
115,"Total Industry Output",2017,37867539.0356383,"Extrapolated",37867539.0356383,102.758144170279,"Coastal Industry Output [billion 2022$]",0.0446734668459828
118,"Total Industry Output",2018,1890154.98042109,"As recorded",1890154.98042109,105.112221863417,"Coastal Industry Output [billion 2022$]",0.00217993239825165
118,"Total Employement",2018,10.08140273,"As recorded",10.08140273,105.112221863417,"Coastal Employment [thousands]",0.01008140273
118,"Total Personal Income",2018,394633.232090402,"As recorded",394633.232090402,105.112221863417,"Coastal Personal Income [billion 2022$]",0.00045513398476403
118,"Total Industry Output",2019,318773.522015875,"As recorded",318773.522015875,106.876538692045,"Coastal Industry Output [billion 2022$]",0.000361575243904132
118,"Total Employement",2019,1.956396261,"As recorded",1.956396261,106.876538692045,"Coastal Employment [thousands]",0.001956396261
118,"Total Personal Income",2019,56753.844760601,"As recorded",56753.844760601,106.876538692045,"Coastal Personal Income [billion 2022$]",6.43741836901673e-05
118,"Total Industry Output",2020,316615.877054798,"As recorded",316615.877054798,108.287966074286,"Coastal Industry Output [billion 2022$]",0.00035444701226276
118,"Total Employement",2020,1.784743406,"As recorded",1.784743406,108.287966074286,"Coastal Employment [thousands]",0.001784743406
118,"Total Personal Income",2020,68050.500577575,"As recorded",68050.500577575,108.287966074286,"Coastal Personal Income [billion 2022$]",7.61815763538986e-05
118,"Total Industry Output",2021,998380.306023238,"As recorded",998380.306023238,113.252692384595,"Coastal Industry Output [billion 2022$]",0.00106867659352299
118,"Total Employement",2021,5.447668217,"As recorded",5.447668217,113.252692384595,"Coastal Employment [thousands]",0.005447668217
118,"Total Personal Income",2021,193368.694595557,"As recorded",193368.694595557,113.252692384595,"Coastal Personal Income [billion 2022$]",0.000206983848326789
118,"Total Industry Output",2022,832262.005982616,"As recorded",832262.005982616,121.226851906731,"Coastal Industry Output [billion 2022$]",0.000832262005982616
118,"Total Employement",2022,3.339172815,"As recorded",3.339172815,121.226851906731,"Coastal Employment [thousands]",0.003339172815
118,"Total Personal Income",2022,122322.358961189,"As recorded",122322.358961189,121.226851906731,"Coastal Personal Income [billion 2022$]",0.000122322358961189
118,"Total Personal Income",2012,289350.493620129,"Extrapolated",289350.493620129,95.7547924993229,"Coastal Personal Income [billion 2022$]",0.00036632160671723
118,"Total Personal Income",2015,291565.277734227,"Extrapolated",291565.277734228,100,"Coastal Personal Income [billion 2022$]",0.000353455407450321
118,"Total Personal Income",2018,394633.232090402,"Extrapolated",394633.232090402,105.112221863417,"Coastal Personal Income [billion 2022$]",0.00045513398476403
118,"Total Personal Income",2011,32949.1992949761,"Extrapolated",32949.1992949765,94.0042733837922,"Coastal Personal Income [billion 2022$]",4.24909162062213e-05
118,"Total Personal Income",2013,114717.620036931,"Extrapolated",114717.620036931,97.3844273465615,"Coastal Personal Income [billion 2022$]",0.000142803693713979
118,"Total Personal Income",2014,52732.8661840416,"Extrapolated",52732.866184042,99.0804906972909,"Coastal Personal Income [billion 2022$]",6.45196578511199e-05
118,"Total Personal Income",2016,282892.144973869,"Extrapolated",282892.144973869,100.950322501374,"Coastal Personal Income [billion 2022$]",0.000339712873763805
118,"Total Personal Income",2017,170055.838256247,"Extrapolated",170055.838256248,102.758144170279,"Coastal Personal Income [billion 2022$]",0.000200619951699436
118,"Total Employement",2012,5.6145815703833,"Extrapolated",5.6160186401919,95.7547924993229,"Coastal Employment [thousands]",0.0056145815703833
118,"Total Employement",2015,9.876188894183,"Extrapolated",9.87762596399159,100,"Coastal Employment [thousands]",0.009876188894183
118,"Total Employement",2018,10.08140273,"Extrapolated",10.0828397998086,105.112221863417,"Coastal Employment [thousands]",0.01008140273
118,"Total Employement",2011,0.793196034823991,"Extrapolated",0.794633104632585,94.0042733837922,"Coastal Employment [thousands]",0.000793196034823991
118,"Total Employement",2013,2.33959505527953,"Extrapolated",2.34103212508813,97.3844273465615,"Coastal Employment [thousands]",0.00233959505527953
118,"Total Employement",2014,1.12023317865399,"Extrapolated",1.12167024846259,99.0804906972909,"Coastal Employment [thousands]",0.00112023317865399
